Count,Time difference,Running average latency
1,83.87747049331665,83.87747049331665
2,80.87511229515076,82.3762913942337
3,77.87247610092163,80.87501962979634
4,11.313022375106812,63.48452031612396
5,8.31142258644104,52.44990077018738
6,5.309628009796143,44.593188643455505
7,2.3070578575134277,38.55231281689235
8,0.005732536315917969,33.7339902818203
9,0.009259700775146484,29.986797995037502
10,0.009245157241821289,26.989042711257934
11,0.007959604263305664,24.536216974258423
12,0.006052970886230469,22.492036640644073
13,0.006155252456665039,20.76235345693735
14,0.005627155303955078,19.27973014967782
15,0.007803440093994141,17.994935035705566
16,0.005851268768310547,16.870617300271988
