Count,Time difference,Running average latency
1,5.665894985198975,5.665894985198975
2,2.661871910095215,4.163883447647095
3,0.0016608238220214844,2.7764759063720703
4,0.0005893707275390625,2.0825042724609375
5,0.0012989044189453125,1.6662631988525392
6,0.001519918441772461,1.3888059854507446
7,0.0013844966888427734,1.1906029156276159
8,0.0012040138244628906,1.0419280529022217
9,0.0006542205810546875,0.926230960422092
10,0.0006327629089355469,0.8336711406707764
11,0.0008664131164550781,0.7579616199840199
12,0.0005998611450195312,0.6948481400807699
13,0.0025992393493652344,0.6415982246398926
14,0.0006439685821533203,0.5958157777786255
15,0.0005593299865722656,0.5561320145924886
16,0.0005748271942138672,0.5214096903800964
17,0.0005619525909423828,0.490771588157205
18,0.00048542022705078125,0.4635334677166409
19,0.0005738735198974609,0.43916717328523336
20,0.0010116100311279297,0.4172593951225281
21,0.0005831718444824219,0.3974176702045259
22,0.0005826950073242188,0.37937971678647125
23,0.0006344318389892578,0.36291253048440686
24,0.0006096363067626953,0.3478165765603383
25,0.0006105899810791016,0.33392833709716796
26,0.0021109580993652344,0.32116613021263707
27,0.004130125045776367,0.3094240559471978
28,0.0009133815765380859,0.2984058175768171
29,0.0006268024444580078,0.28813757567570125
30,0.0005927085876464844,0.2785527467727661
31,0.0005028247833251953,0.2695833944505261
32,0.0015263557434082031,0.26120661199092865
33,0.0013744831085205078,0.25333291111570416
34,0.001683950424194336,0.24593147109536564
35,0.002009153366088867,0.2389622620173863
36,0.0016117095947265625,0.23236919111675686
37,0.0016815662384033203,0.22613439044436892
38,0.0019364356994628906,0.22023444426687142
39,0.0017778873443603516,0.21463299408937112
40,0.0007669925689697266,0.2092863440513611
41,0.0010733604431152344,0.20420797859750142
42,0.0006797313690185547,0.19936206794920422
43,0.0005872249603271484,0.19473939718202102
44,0.0005424022674560547,0.19032582911578091
45,0.0005407333374023438,0.18610838254292805
46,0.0013012886047363281,0.1820908370225326
47,0.0007102489471435547,0.17823167557412006
48,0.0008220672607421875,0.17453564206759134
49,0.0005826950073242188,0.17098558192350427
50,0.000545501708984375,0.16757678031921386
51,0.0016732215881347656,0.16432376936370252
52,0.0009694099426269531,0.16118233937483567
53,0.0005433559417724609,0.15815141515911751
54,0.0005576610565185547,0.15523301230536568
55,0.0005486011505126953,0.1524205684661865
56,0.0006573200225830078,0.14971051045826503
57,0.0005366802215576172,0.14709342571727016
58,0.0016665458679199219,0.14458606571986757
59,0.0005810260772705078,0.14214530233609474
60,0.0005605220794677734,0.1397855559984843
61,0.00144195556640625,0.13751762812254859
62,0.0005884170532226562,0.1353090924601401
63,0.0006945133209228516,0.13317235310872397
64,0.0005340576171875,0.1310998797416687
65,0.0006341934204101562,0.12909271533672625
66,0.0005314350128173828,0.12714481715000037
67,0.0010311603546142578,0.1252625237649946
68,0.0011317729949951172,0.12343707154778873
69,0.0006053447723388672,0.12165690159452135
70,0.000568389892578125,0.11992706571306501
71,0.001867532730102539,0.11826425538936132
72,0.0006089210510253906,0.11663015352355109
73,0.0005128383636474609,0.1150395053706757
74,0.0006589889526367188,0.11349382271637788
75,0.0005481243133544922,0.11198788007100423
76,0.0005314350128173828,0.11052134789918598
77,0.0008180141448974609,0.10909662927900042
78,0.0006213188171386719,0.10770592017051502
79,0.0005617141723632812,0.10634966439838651
80,0.0006079673767089844,0.10502789318561553
81,0.001888275146484375,0.10375456456784848
82,0.00058746337890625,0.10249642918749553
83,0.0006451606750488281,0.1012693054704781
84,0.0006620883941650391,0.1000716005052839
85,0.0005931854248046875,0.09890126621021944
86,0.0005414485931396484,0.09775754740071851
87,0.0004949569702148438,0.09663958659117249
88,0.0005557537078857422,0.09554772485386241
89,0.0006427764892578125,0.09448137711942865
90,0.0005979537963867188,0.09343822797139485
91,0.0006458759307861328,0.09241853179512444
92,0.0017063617706298828,0.0914325299470321
93,0.001611948013305664,0.0904667172380673
94,0.0014352798461914062,0.0895195742870899
95,0.0011401176452636719,0.08858926421717593
96,0.0011849403381347656,0.08767880251010259
97,0.0011017322540283203,0.08678625539406058
98,0.0011625289916992188,0.08591254390015894
99,0.0017342567443847656,0.08506225817131274
100,0.001850128173828125,0.08423013687133789
