Count,Time difference,Running average latency
1,15.057714939117432,15.057714939117432
2,12.054340362548828,13.55602765083313
3,9.051725625991821,12.054593642552694
4,6.049720764160156,10.55337542295456
5,3.0489704608917236,9.052494430541993
6,0.046384572982788086,7.5514761209487915
7,0.0011582374572753906,6.472859280450003
8,0.0006799697875976562,5.663836866617203
9,0.0006749629974365234,5.034596655103895
10,0.0009295940399169922,4.531229948997497
11,0.0006248950958251953,4.119356762279164
12,0.0005855560302734375,3.7761258284250894
13,0.0011088848114013672,3.485739909685575
14,0.0011050701141357422,3.236837421144758
15,0.0006418228149414062,3.0210910479227704
16,0.001270294189453125,2.832352250814438
17,0.0006563663482666016,2.665781904669369
18,0.0008139610290527344,2.5177281300226846
19,0.0006737709045410156,2.3852515848059404
20,0.002348184585571289,2.2661064147949217
