Count,Time difference,Running average latency
1,2.018484354019165,2.018484354019165
2,4.012286901473999,3.015385627746582
3,5.035943269729614,3.6889048417409263
4,7.002076148986816,4.517197668552399
5,7.926305770874023,5.199019289016723
6,9.894259214401245,5.9815592765808105
7,11.0888032913208,6.711165564400809
8,13.019662380218506,7.499727666378021
9,14.091668844223022,8.232165575027466
10,15.986206769943237,9.007569694519043
11,17.035144090652466,9.737349185076626
12,19.02828574180603,10.51159389813741
13,20.05465292930603,11.245675362073458
14,22.022434949874878,12.015443904059273
15,22.94299030303955,12.743946997324626
16,24.909826040267944,13.504314437508583
17,26.101764917373657,14.245340936324176
18,28.032949209213257,15.011319173706902
19,29.104342460632324,15.75305724143982
20,30.997143983840942,16.515261578559876
21,32.048120975494385,17.25492154984247
22,34.03795528411865,18.017786719582297
23,35.06756591796875,18.75908146733823
24,37.033321380615234,19.520508130391438
25,37.956448554992676,20.257945747375487
26,39.92250990867615,21.014275138194744
27,41.113672733306885,21.758697271347046
28,43.03785228729248,22.518667093345098
29,44.118475914001465,23.263488087160834
30,46.00757622718811,24.021624358495078
31,47.0571186542511,24.764704819648497
32,49.0480694770813,25.52355996519327
33,50.07829523086548,26.267642852031823
34,52.04474472999573,27.025792907266055
35,52.970215797424316,27.76706213269915
36,54.92143368721008,28.521350231435562
37,56.12813186645508,29.26747946481447
38,58.050220251083374,30.024920011821546
39,59.13103461265564,30.771230642612164
40,61.01756954193115,31.52738911509514
41,62.073734283447266,32.27242192407934
42,64.05794835090637,33.029220172337126
43,65.09488940238953,33.774933410245325
44,67.05801439285278,34.531367068940945
45,67.98163771629333,35.27470641665988
46,69.92779588699341,36.02803444862365
47,71.13933205604553,36.77508333388795
48,73.06367635726929,37.531095688541726
49,74.15044808387756,38.27842941089552
50,76.03925561904907,39.03364593505859
51,77.09396004676819,39.779926603915634
52,79.07728338241577,40.535645003502175
53,80.11628127098083,41.28244946137913
54,82.07800531387329,42.0379227179068
55,83.00075626373291,42.782701509649094
56,84.94551396369934,43.53560887489999
57,86.15957713127136,44.28339779167844
58,88.08387351036072,45.03857840751779
59,89.1633632183075,45.78645611617524
60,91.05397319793701,46.540914734204605
61,92.10921573638916,47.28793606210927
62,94.093101978302,48.0428580930156
63,95.13029670715332,48.79027775355747
64,97.09224843978882,49.544996045529835
65,98.01433396339417,50.29067816734313
66,99.9625506401062,51.04328229571833
67,101.17388558387756,51.79150025524309
68,103.09713315963745,52.54599485677831
69,104.17769718170166,53.29428039771923
70,106.0655906200409,54.048156258038105
71,107.11944532394409,54.79563920262833
72,109.10458064079285,55.54993005593617
73,110.15543961524963,56.297950734830884
74,112.11795926094055,57.0522751743729
75,113.0414788722992,57.798797890345256
76,114.98872900009155,58.55129698389455
77,116.19876074790955,59.29996534446617
78,118.12217140197754,60.054096191357345
79,119.20496726036072,60.80284139476245
80,121.09195232391357,61.55645528137684
81,122.14400696754456,62.30444974663817
82,124.1302137374878,63.058422478233894
83,125.16806387901306,63.8067314107734
84,127.13318037986755,64.56061770802452
85,128.0582194328308,65.30764831655166
86,130.0065474510193,66.05996109718501
87,131.2167251110077,66.80888941918298
88,133.1384449005127,67.56263436783445
89,134.22267365455627,68.31162357330324
90,136.11121463775635,69.06495236290827
91,137.16493940353394,69.8133038688492
92,139.14876127243042,70.56695014497508
93,140.18855261802673,71.31556952640574
94,142.14892983436584,72.06911591266064
95,143.0747458934784,72.81654359666925
96,145.02311515808105,73.56869538376729
97,146.23149633407593,74.31779642449212
98,148.15418672561646,75.07122897858522
99,149.23911595344543,75.82039955408887
100,151.12479877471924,76.57344354629517
101,152.18051147460938,77.32202837726858
102,154.16197800636292,78.07536121676951
103,155.20150184631348,78.82415869860974
104,157.16469645500183,79.5774331001135
105,158.0887885093689,80.32516029448736
106,160.0382435321808,81.07717051371088
107,161.24730825424194,81.82642413745417
108,163.16868829727173,82.57959325004506
109,164.25447821617126,83.32890412129393
110,166.14083123207092,84.081739822301
111,167.19742250442505,84.83052975637419
112,169.17841601371765,85.5836358836719
113,170.21356916427612,86.33257334633211
114,172.18086743354797,87.08562855762348
115,173.10476350784302,87.83362103545147
116,175.05205750465393,88.58550410846183
117,176.26408529281616,89.3348936912341
118,178.18360328674316,90.08784885729773
119,179.2686789035797,90.83726759718246
120,181.1570188999176,91.58993219137191
121,182.21161723136902,92.33887173715702
122,184.19221353530884,93.09176798140416
123,185.2310209274292,93.84086759885152
124,187.19437098503113,94.59371843261104
125,188.12031745910645,95.341931224823
126,190.0657262802124,96.09370737605624
127,191.2799048423767,96.8432049939013
128,193.20236039161682,97.59601089544594
129,194.28570342063904,98.34554339564124
130,196.1743142604828,99.09807240229387
131,197.23124265670776,99.84718057217489
132,199.20977401733398,100.59992749221396
133,200.25121307373047,101.34918527854116
134,202.21318793296814,102.10190171626077
135,203.137953042984,102.85031691127354
136,205.08232975006104,103.60202288802932
137,206.29831051826477,104.35163082693614
138,208.2171926498413,105.10427982565285
139,209.3015215396881,105.85390026963871
140,211.19022583961487,106.60630259513854
141,212.24519038200378,107.35551456525816
142,214.22393465042114,108.10810907290015
