Count,Time difference,Running average latency
1,0.006269216537475586,0.006269216537475586
2,0.011451482772827148,0.008860349655151367
3,0.007236003875732422,0.008318901062011719
4,0.0069119930267333984,0.007967174053192139
5,0.008039474487304688,0.007981634140014649
6,0.010366201400756836,0.008379062016805014
7,0.006117820739746094,0.008056027548653739
8,0.007199287414550781,0.00794893503189087
9,0.01218414306640625,0.008419513702392578
10,0.006234169006347656,0.008200979232788086
11,0.007465839385986328,0.00813414833762429
12,0.008011341094970703,0.00812391440073649
